Tool,Seq1,Seq2,Inputfile_ID,start_pos1,start_pos2,Insertions,Deletions,Mismatches,Is_Inverse,Seq2_Is_Translocated,Total_Length
mumer,NC_002695.2,CP041955.1,2,188575,979605,0,0,93,False,False,7543
mumer,NC_002695.2,CP041955.1,2,196121,987293,22,5,438,False,True,39198
mumer,NC_002695.2,CP041955.1,2,226864,503556,7,11,49,False,False,5359
mumer,NC_002695.2,CP041955.1,2,226957,1217515,1,1,13,False,True,1738
mumer,NC_002695.2,CP041955.1,2,228969,304666,4,1,26,False,True,2505
mumer,NC_002695.2,CP041955.1,2,226957,154028,3,2,24,False,False,3702
mumer,NC_002695.2,CP041955.1,2,232258,1031450,0,0,0,False,True,79
mumer,NC_002695.2,CP041955.1,2,235493,1026460,2,2,83,False,False,6051
mumer,NC_002695.2,CP041955.1,2,244079,1034772,18,41,590,False,False,24514
mumer,NC_002695.2,CP041955.1,2,264851,2454569,1,1,100,False,True,1613
mumer,NC_002695.2,CP041955.1,2,268707,1059377,9,9,154,False,False,2083
mumer,NC_002695.2,CP041955.1,2,268857,2458518,2,2,99,False,True,738
mumer,NC_002695.2,CP041955.1,2,268857,1362329,2,2,116,False,False,738
mumer,NC_002695.2,CP041955.1,2,272509,1568497,0,1,31,False,True,381
mumer,NC_002695.2,CP041955.1,2,273885,1060305,0,0,43,False,False,705
mumer,NC_002695.2,CP041955.1,2,273870,1363107,1,1,147,False,False,1234
mumer,NC_002695.2,CP041955.1,2,273870,2459296,2,5,146,False,True,3422
mumer,NC_002695.2,CP041955.1,2,274709,1061114,0,0,48,False,False,329
mumer,NC_002695.2,CP041955.1,2,277463,1063921,1,0,128,False,False,4770
mumer,NC_002695.2,CP041955.1,2,282197,1068757,88,8,468,False,False,18883
mumer,NC_002695.2,CP041955.1,2,291226,3220449,0,0,4,False,True,128
mumer,NC_002695.2,CP041955.1,2,291227,3156132,0,0,4,False,True,86
mumer,NC_002695.2,CP041955.1,2,291228,882442,0,0,4,False,False,127
mumer,NC_002695.2,CP041955.1,2,291228,3443078,0,0,3,False,False,126
mumer,NC_002695.2,CP041955.1,2,291221,3580496,0,0,8,False,True,133
mumer,NC_002695.2,CP041955.1,2,308457,1903308,0,0,9,False,True,340
mumer,NC_002695.2,CP041955.1,2,310372,1132257,5,2,5,False,False,279
mumer,NC_002695.2,CP041955.1,2,323515,1132517,0,0,14,False,False,481
mumer,NC_002695.2,CP041955.1,2,330125,1132993,3,4,307,False,False,15236
mumer,NC_002695.2,CP041955.1,2,347800,1148217,2,0,20,False,False,868
mumer,NC_002695.2,CP041955.1,2,353381,1149084,29,12,312,False,False,6076
mumer,NC_002695.2,CP041955.1,2,360153,1155186,3,2,114,False,False,8038
mumer,NC_002695.2,CP041955.1,2,373135,1163219,0,2,172,False,False,6067
mumer,NC_002695.2,CP041955.1,2,384171,1170429,2,11,174,False,False,7445
mumer,NC_002695.2,CP041955.1,2,391433,1177589,0,0,4,False,True,142
mumer,NC_002695.2,CP041955.1,2,391440,1177503,0,0,0,False,False,135
mumer,NC_002695.2,CP041955.1,2,391576,1177732,1,1,88,False,False,2585
mumer,NC_002695.2,CP041955.1,2,399423,1180473,5,3,127,False,False,6971
mumer,NC_002695.2,CP041955.1,2,406294,1187620,5,1,103,False,True,4898
mumer,NC_002695.2,CP041955.1,2,406294,1187527,5,0,1,False,True,100
mumer,NC_002695.2,CP041955.1,2,406294,1187434,5,0,2,False,False,100
mumer,NC_002695.2,CP041955.1,2,411598,1192365,14,10,65,False,False,3067
mumer,NC_002695.2,CP041955.1,2,414465,1195622,14,1,249,False,False,9907
mumer,NC_002695.2,CP041955.1,2,426192,1205538,0,0,110,False,False,7373
mumer,NC_002695.2,CP041955.1,2,433524,1213274,1,2,42,False,False,2105
mumer,NC_002695.2,CP041955.1,2,435520,3643106,2,1,12,False,True,110
mumer,NC_002695.2,CP041955.1,2,435520,3643005,2,1,12,False,False,110
mumer,NC_002695.2,CP041955.1,2,435520,3643207,2,1,14,False,True,110
mumer,NC_002695.2,CP041955.1,2,435520,1215369,2,3,55,False,False,2555
mumer,NC_002695.2,CP041955.1,2,446197,1224033,4,6,165,False,False,5146
mumer,NC_002695.2,CP041955.1,2,453080,1230794,0,0,144,False,False,12493
mumer,NC_002695.2,CP041955.1,2,465654,1243280,0,0,50,False,False,2730
mumer,NC_002695.2,CP041955.1,2,470323,1246015,0,0,16,False,False,370
mumer,NC_002695.2,CP041955.1,2,471055,1246375,0,3,18,False,False,2205
mumer,NC_002695.2,CP041955.1,2,473163,1248584,3,0,154,False,False,13155
mumer,NC_002695.2,CP041955.1,2,487974,1261749,1,0,75,False,False,6135
mumer,NC_002695.2,CP041955.1,2,494795,1267945,0,0,91,False,False,6562
mumer,NC_002695.2,CP041955.1,2,503340,1274567,0,0,35,False,False,989
mumer,NC_002695.2,CP041955.1,2,504330,1275682,4,17,652,False,False,51639
mumer,NC_002695.2,CP041955.1,2,556022,1327531,0,0,92,False,False,7695
mumer,NC_002695.2,CP041955.1,2,563770,1335383,1,0,272,False,False,15818
mumer,NC_002695.2,CP041955.1,2,605061,1351202,0,1,29,False,False,504
mumer,NC_002695.2,CP041955.1,2,608227,1351733,17,9,324,False,False,12563
mumer,NC_002695.2,CP041955.1,2,617058,2456755,16,10,210,False,False,3756
mumer,NC_002695.2,CP041955.1,2,618669,4683774,7,13,300,False,True,1650
mumer,NC_002695.2,CP041955.1,2,618669,1563368,7,13,304,False,False,1650
mumer,NC_002695.2,CP041955.1,2,618669,4543631,7,13,300,False,True,1639
mumer,NC_002695.2,CP041955.1,2,620577,1365287,147,14,651,False,True,44049
mumer,NC_002695.2,CP041955.1,2,664592,307844,1,1,36,False,False,1295
mumer,NC_002695.2,CP041955.1,2,664592,2392183,1,1,29,False,False,1267
mumer,NC_002695.2,CP041955.1,2,664591,3286017,0,1,58,False,False,1293
mumer,NC_002695.2,CP041955.1,2,664603,3792279,0,0,51,False,True,1280
mumer,NC_002695.2,CP041955.1,2,664970,3285129,0,0,47,False,False,888
mumer,NC_002695.2,CP041955.1,2,665502,3287308,0,1,29,False,True,381
mumer,NC_002695.2,CP041955.1,2,673858,2400073,0,0,73,False,False,1566
mumer,NC_002695.2,CP041955.1,2,673858,3799133,0,0,116,False,True,1544
mumer,NC_002695.2,CP041955.1,2,676008,1409348,0,0,114,False,False,3635
mumer,NC_002695.2,CP041955.1,2,679645,1413110,19,0,140,False,False,8325
mumer,NC_002695.2,CP041955.1,2,687942,1422203,0,0,0,False,False,115
mumer,NC_002695.2,CP041955.1,2,688708,1439815,14,0,41,False,False,1820
mumer,NC_002695.2,CP041955.1,2,690502,1442972,0,0,1,False,True,91
mumer,NC_002695.2,CP041955.1,2,690627,1441245,0,0,17,False,False,390
mumer,NC_002695.2,CP041955.1,2,691005,1442972,0,0,359,False,False,15193
mumer,NC_002695.2,CP041955.1,2,691754,3324217,1,1,12,False,True,146
mumer,NC_002695.2,CP041955.1,2,706195,1458348,2,2,294,False,False,14787
mumer,NC_002695.2,CP041955.1,2,720994,1473263,3,11,908,False,False,58550
mumer,NC_002695.2,CP041955.1,2,779571,1531972,1,3,218,False,False,15701
mumer,NC_002695.2,CP041955.1,2,795256,1549347,0,0,61,False,False,2833
mumer,NC_002695.2,CP041955.1,2,798308,1552169,0,0,38,False,False,352
mumer,NC_002695.2,CP041955.1,2,799475,1553242,2,1,279,False,False,12266
mumer,NC_002695.2,CP041955.1,2,808008,4542039,0,33,66,False,False,3691
mumer,NC_002695.2,CP041955.1,2,807893,4682067,0,0,76,False,False,3762
mumer,NC_002695.2,CP041955.1,2,811270,4687198,0,1,26,False,True,456
mumer,NC_002695.2,CP041955.1,2,810704,1566343,0,1,42,False,True,2112
mumer,NC_002695.2,CP041955.1,2,814219,1062626,1,1,41,False,False,1281
mumer,NC_002695.2,CP041955.1,2,814219,4547050,0,0,26,False,True,1291
mumer,NC_002695.2,CP041955.1,2,814244,1568522,0,1,25,False,False,356
mumer,NC_002695.2,CP041955.1,2,814244,1568902,0,1,54,False,False,1266
mumer,NC_002695.2,CP041955.1,2,814218,2462710,0,0,33,False,True,1293
mumer,NC_002695.2,CP041955.1,2,814243,1570167,0,0,38,False,False,889
mumer,NC_002695.2,CP041955.1,2,815591,1571139,15,18,1069,False,False,12905
mumer,NC_002695.2,CP041955.1,2,829849,1585398,0,0,115,False,False,9567
mumer,NC_002695.2,CP041955.1,2,839430,1595251,0,0,21,False,False,2188
mumer,NC_002695.2,CP041955.1,2,855879,1603658,81,0,103,False,False,9258
mumer,NC_002695.2,CP041955.1,2,865038,1612998,0,0,3,False,False,207
mumer,NC_002695.2,CP041955.1,2,865227,1613285,0,0,10,False,False,453
mumer,NC_002695.2,CP041955.1,2,865375,1613655,4,18,24,False,True,338
mumer,NC_002695.2,CP041955.1,2,865274,1613029,0,1,8,False,True,275
mumer,NC_002695.2,CP041955.1,2,865596,1612839,0,0,0,False,False,79
mumer,NC_002695.2,CP041955.1,2,865655,1614077,2,11,459,False,True,24091
mumer,NC_002695.2,CP041955.1,2,887194,1412979,0,0,0,False,False,128
mumer,NC_002695.2,CP041955.1,2,889662,1638167,0,0,32,False,True,1466
mumer,NC_002695.2,CP041955.1,2,901882,1101633,5,5,455,False,False,19304
mumer,NC_002695.2,CP041955.1,2,902517,2123760,0,0,27,False,False,238
mumer,NC_002695.2,CP041955.1,2,916725,2137657,3,3,223,False,False,4459
mumer,NC_002695.2,CP041955.1,2,922133,2143129,5,4,85,False,True,1083
mumer,NC_002695.2,CP041955.1,2,929695,1639614,2,6,534,False,False,24916
mumer,NC_002695.2,CP041955.1,2,957416,1665261,1,11,239,False,False,12626
mumer,NC_002695.2,CP041955.1,2,970049,1678028,76,0,279,False,False,18611
mumer,NC_002695.2,CP041955.1,2,988687,1696639,0,11,181,False,False,12311
mumer,NC_002695.2,CP041955.1,2,1001994,1708981,1,9,308,False,False,22931
mumer,NC_002695.2,CP041955.1,2,1028442,1732111,1,1,211,False,False,4643
mumer,NC_002695.2,CP041955.1,2,1035651,1736805,0,1,287,False,False,10422
mumer,NC_002695.2,CP041955.1,2,1046110,3108634,1,0,25,False,False,276
mumer,NC_002695.2,CP041955.1,2,1046111,3151265,4,2,19,False,True,270
mumer,NC_002695.2,CP041955.1,2,1046425,1747616,5,44,365,False,False,33468
mumer,NC_002695.2,CP041955.1,2,1079928,1782551,3,3,428,False,False,34049
mumer,NC_002695.2,CP041955.1,2,1113955,1816750,3,3,386,False,False,19567
mumer,NC_002695.2,CP041955.1,2,1133509,1837081,1,0,226,False,False,27649
mumer,NC_002695.2,CP041955.1,2,1165534,2111098,4,11,38,False,False,532
mumer,NC_002695.2,CP041955.1,2,1168723,2113573,1,1,36,False,False,430
mumer,NC_002695.2,CP041955.1,2,1170414,2114550,24,0,27,False,False,594
mumer,NC_002695.2,CP041955.1,2,1172536,2115177,0,1,39,False,False,387
mumer,NC_002695.2,CP041955.1,2,1174501,2117201,1,0,131,False,False,1542
mumer,NC_002695.2,CP041955.1,2,1179715,2121259,0,1,14,False,False,210
mumer,NC_002695.2,CP041955.1,2,1189603,4146541,0,0,3,False,True,226
mumer,NC_002695.2,CP041955.1,2,1206254,2142569,2,2,103,False,True,1641
mumer,NC_002695.2,CP041955.1,2,1206794,1121946,2,0,48,False,False,1101
mumer,NC_002695.2,CP041955.1,2,1210854,1864634,3,0,11,False,False,574
mumer,NC_002695.2,CP041955.1,2,1211638,1865252,9,19,701,False,False,34538
mumer,NC_002695.2,CP041955.1,2,1272720,2122526,0,0,19,False,False,285
mumer,NC_002695.2,CP041955.1,2,1274608,2123831,0,3,68,False,True,718
mumer,NC_002695.2,CP041955.1,2,1308858,1899754,67,1,13,False,False,676
mumer,NC_002695.2,CP041955.1,2,1309444,1900581,0,0,278,False,False,12333
mumer,NC_002695.2,CP041955.1,2,1324321,1913327,2,1,86,False,False,13020
mumer,NC_002695.2,CP041955.1,2,1369079,1927603,0,0,21,False,False,1533
mumer,NC_002695.2,CP041955.1,2,1370537,1929423,49,7,126,False,True,11067
mumer,NC_002695.2,CP041955.1,2,1384474,1804113,0,0,1,False,False,358
mumer,NC_002695.2,CP041955.1,2,1384474,3034236,0,0,1,False,False,358
mumer,NC_002695.2,CP041955.1,2,1384806,3052909,0,0,12,False,False,965
mumer,NC_002695.2,CP041955.1,2,1384842,4165240,0,0,5,False,True,931
mumer,NC_002695.2,CP041955.1,2,1384945,2907513,1,0,8,False,True,827
mumer,NC_002695.2,CP041955.1,2,1395812,1822765,0,0,1,False,True,375
mumer,NC_002695.2,CP041955.1,2,1395833,1804445,0,0,4,False,True,354
mumer,NC_002695.2,CP041955.1,2,1395868,690945,0,0,1,False,False,318
mumer,NC_002695.2,CP041955.1,2,1401236,4176739,0,0,35,False,True,333
mumer,NC_002695.2,CP041955.1,2,1425145,59571,4,20,80,False,False,720
mumer,NC_002695.2,CP041955.1,2,1427825,4687826,0,0,71,False,True,770
mumer,NC_002695.2,CP041955.1,2,1427826,4150078,0,1,4,False,True,774
mumer,NC_002695.2,CP041955.1,2,1427827,2830485,0,0,54,False,True,768
mumer,NC_002695.2,CP041955.1,2,1427827,1223079,0,1,53,False,False,773
mumer,NC_002695.2,CP041955.1,2,1427827,1836314,0,0,53,False,False,768
mumer,NC_002695.2,CP041955.1,2,1427827,4168757,0,0,28,False,True,769
mumer,NC_002695.2,CP041955.1,2,1427827,4118657,0,1,6,False,True,769
mumer,NC_002695.2,CP041955.1,2,1427826,1948671,0,0,14,False,False,4216
mumer,NC_002695.2,CP041955.1,2,1427827,2967112,0,0,70,False,True,775
mumer,NC_002695.2,CP041955.1,2,1427826,1811509,0,0,69,False,False,769
mumer,NC_002695.2,CP041955.1,2,1427816,4186270,0,0,12,False,False,779
mumer,NC_002695.2,CP041955.1,2,1427826,4203898,0,0,69,False,True,769
mumer,NC_002695.2,CP041955.1,2,1427827,3433982,0,0,71,False,True,768
mumer,NC_002695.2,CP041955.1,2,1427826,1867189,0,0,69,False,True,773
mumer,NC_002695.2,CP041955.1,2,1427827,716870,0,1,68,False,False,768
mumer,NC_002695.2,CP041955.1,2,1427827,2567704,0,0,71,False,True,775
mumer,NC_002695.2,CP041955.1,2,1427827,2067107,0,0,69,False,False,769
mumer,NC_002695.2,CP041955.1,2,1427827,4760682,1,0,75,False,True,773
mumer,NC_002695.2,CP041955.1,2,1427827,85594,0,0,73,False,True,768
mumer,NC_002695.2,CP041955.1,2,1429663,60270,4,1,59,False,False,495
mumer,NC_002695.2,CP041955.1,2,1432039,2870031,2,1,17,False,True,526
mumer,NC_002695.2,CP041955.1,2,1432039,1963587,2,1,30,False,False,526
mumer,NC_002695.2,CP041955.1,2,1432038,4288415,1,1,29,False,True,526
mumer,NC_002695.2,CP041955.1,2,1432039,2147142,1,1,29,False,True,525
mumer,NC_002695.2,CP041955.1,2,1433349,1952881,0,0,0,False,False,1258
mumer,NC_002695.2,CP041955.1,2,1434599,1956718,1,0,7,False,False,7128
mumer,NC_002695.2,CP041955.1,2,1441467,4288416,0,0,0,False,True,259
mumer,NC_002695.2,CP041955.1,2,1441467,2147142,0,0,0,False,False,259
mumer,NC_002695.2,CP041955.1,2,1441467,2883223,0,0,15,False,True,841
mumer,NC_002695.2,CP041955.1,2,1442952,2005114,3,3,98,False,True,1690
mumer,NC_002695.2,CP041955.1,2,1442960,1831431,4,3,63,False,False,1370
mumer,NC_002695.2,CP041955.1,2,1444321,1835380,0,0,22,False,False,318
mumer,NC_002695.2,CP041955.1,2,1445209,2007368,3,3,190,False,True,17567
mumer,NC_002695.2,CP041955.1,2,1444997,1836053,5,5,122,False,False,2150
mumer,NC_002695.2,CP041955.1,2,1451740,1838367,10,1,96,False,False,1036
mumer,NC_002695.2,CP041955.1,2,1452085,4804039,12,7,189,False,True,2042
mumer,NC_002695.2,CP041955.1,2,1452928,1839803,38,2,164,False,False,2307
mumer,NC_002695.2,CP041955.1,2,1454741,4806651,6,0,161,False,True,1943
mumer,NC_002695.2,CP041955.1,2,1462765,2025700,11,11,450,False,False,31091
mumer,NC_002695.2,CP041955.1,2,1493949,2056918,1,0,165,False,False,10189
mumer,NC_002695.2,CP041955.1,2,1504128,2067875,12,32,453,False,False,35542
mumer,NC_002695.2,CP041955.1,2,1539683,2104697,0,0,32,False,False,3900
mumer,NC_002695.2,CP041955.1,2,1544502,2112342,3,0,8,False,False,151
mumer,NC_002695.2,CP041955.1,2,1545708,2113573,1,1,56,False,False,375
mumer,NC_002695.2,CP041955.1,2,1551100,2117177,3,2,155,False,False,1569
mumer,NC_002695.2,CP041955.1,2,1552983,2119064,1,0,143,False,False,1291
mumer,NC_002695.2,CP041955.1,2,1555255,2122106,0,0,8,False,False,152
mumer,NC_002695.2,CP041955.1,2,1589999,2152647,0,0,66,False,False,4721
mumer,NC_002695.2,CP041955.1,2,1610174,2157361,1,1,125,False,True,8117
mumer,NC_002695.2,CP041955.1,2,1627494,2123760,0,0,73,False,True,786
mumer,NC_002695.2,CP041955.1,2,1643495,1116461,2,2,88,False,False,1499
mumer,NC_002695.2,CP041955.1,2,1643443,2137590,1,1,86,False,True,1550
mumer,NC_002695.2,CP041955.1,2,1645221,1118163,1,1,131,False,False,2770
mumer,NC_002695.2,CP041955.1,2,1645221,2139344,1,1,135,False,True,2770
mumer,NC_002695.2,CP041955.1,2,1648908,1121949,3,0,63,False,False,1584
mumer,NC_002695.2,CP041955.1,2,1648839,2143043,1,0,108,False,False,1651
mumer,NC_002695.2,CP041955.1,2,1653007,2151238,0,0,9,False,True,125
mumer,NC_002695.2,CP041955.1,2,1653007,1127559,0,0,15,False,False,124
mumer,NC_002695.2,CP041955.1,2,1655939,2151398,0,2,10,False,True,991
mumer,NC_002695.2,CP041955.1,2,1664778,1191943,0,0,22,False,False,765
mumer,NC_002695.2,CP041955.1,2,1665188,2177412,9,50,294,False,False,20423
mumer,NC_002695.2,CP041955.1,2,1685602,4288416,0,0,22,False,True,513
mumer,NC_002695.2,CP041955.1,2,1685602,1963587,1,0,23,False,False,514
mumer,NC_002695.2,CP041955.1,2,1685601,2147141,0,0,22,False,False,514
mumer,NC_002695.2,CP041955.1,2,1686122,2872824,0,0,11,False,True,520
mumer,NC_002695.2,CP041955.1,2,1686122,1966378,0,1,29,False,False,790
mumer,NC_002695.2,CP041955.1,2,1686122,2149933,0,0,27,False,False,790
mumer,NC_002695.2,CP041955.1,2,1686122,4291208,0,0,27,False,True,791
mumer,NC_002695.2,CP041955.1,2,1686912,2197782,0,0,14,False,False,1122
mumer,NC_002695.2,CP041955.1,2,1694830,2199585,13,0,67,False,False,5449
mumer,NC_002695.2,CP041955.1,2,1700266,2208170,8,77,159,False,False,15847
mumer,NC_002695.2,CP041955.1,2,1715104,2224003,2,3,12,False,True,474
mumer,NC_002695.2,CP041955.1,2,1715104,2223468,8,7,121,False,False,9737
mumer,NC_002695.2,CP041955.1,2,1724837,2233325,0,0,95,False,False,7608
mumer,NC_002695.2,CP041955.1,2,1727510,2384838,0,0,43,False,False,255
mumer,NC_002695.2,CP041955.1,2,1729384,2386709,1,1,67,False,True,415
mumer,NC_002695.2,CP041955.1,2,1732064,2240730,4,1,91,False,False,7536
mumer,NC_002695.2,CP041955.1,2,1739586,2249254,3,4,205,False,True,18060
mumer,NC_002695.2,CP041955.1,2,1759098,2108190,0,0,35,False,False,1122
mumer,NC_002695.2,CP041955.1,2,1761587,2110650,90,2,47,False,False,1011
mumer,NC_002695.2,CP041955.1,2,1763142,2111659,2,1,17,False,False,710
mumer,NC_002695.2,CP041955.1,2,1770132,2117692,3,0,124,False,False,1052
mumer,NC_002695.2,CP041955.1,2,1771486,2119053,0,1,38,False,False,348
mumer,NC_002695.2,CP041955.1,2,1774835,2122099,0,0,11,False,False,220
mumer,NC_002695.2,CP041955.1,2,1796689,2141567,1,1,120,False,True,2188
mumer,NC_002695.2,CP041955.1,2,1796689,1120386,0,0,76,False,True,1110
mumer,NC_002695.2,CP041955.1,2,1807677,709639,0,0,13,False,False,2070
mumer,NC_002695.2,CP041955.1,2,1815697,2267189,0,0,300,False,False,11036
mumer,NC_002695.2,CP041955.1,2,1826732,2278524,16,3,190,False,False,9192
mumer,NC_002695.2,CP041955.1,2,1835900,2288481,2,0,183,False,False,16107
mumer,NC_002695.2,CP041955.1,2,1859891,2305246,0,0,170,False,False,10693
mumer,NC_002695.2,CP041955.1,2,1870585,2316065,6,11,789,False,False,28097
mumer,NC_002695.2,CP041955.1,2,1899340,2344150,0,0,4,False,False,139
mumer,NC_002695.2,CP041955.1,2,1900375,2344305,1,0,99,False,False,8930
mumer,NC_002695.2,CP041955.1,2,1909302,2870029,2,1,22,False,True,528
mumer,NC_002695.2,CP041955.1,2,1910614,2353232,0,0,108,False,True,10937
mumer,NC_002695.2,CP041955.1,2,1926236,2109849,0,0,37,False,False,454
mumer,NC_002695.2,CP041955.1,2,1932944,2115187,0,0,53,False,False,431
mumer,NC_002695.2,CP041955.1,2,1940642,2120331,0,0,7,False,False,281
mumer,NC_002695.2,CP041955.1,2,1966022,2141334,0,0,77,False,True,1343
mumer,NC_002695.2,CP041955.1,2,1966039,1120170,1,2,123,False,False,2879
mumer,NC_002695.2,CP041955.1,2,1967815,2143109,1,4,79,False,False,1103
mumer,NC_002695.2,CP041955.1,2,1972620,2364126,26,4,261,False,False,11247
mumer,NC_002695.2,CP041955.1,2,1988650,2399301,5,15,516,False,False,14343
mumer,NC_002695.2,CP041955.1,2,2004810,2413773,0,3,222,False,False,15999
mumer,NC_002695.2,CP041955.1,2,2020809,2431517,19,16,625,False,True,29004
mumer,NC_002695.2,CP041955.1,2,2043864,1055509,0,0,79,False,False,1645
mumer,NC_002695.2,CP041955.1,2,2046050,1360565,19,12,197,False,True,3736
mumer,NC_002695.2,CP041955.1,2,2050813,1062451,1,59,40,False,False,1514
mumer,NC_002695.2,CP041955.1,2,2051023,4547051,1,25,18,False,True,1315
mumer,NC_002695.2,CP041955.1,2,2051046,1570167,0,0,32,False,True,889
mumer,NC_002695.2,CP041955.1,2,2051047,1568902,1,26,49,False,False,1291
mumer,NC_002695.2,CP041955.1,2,2051023,2462712,15,28,337,False,True,13794
mumer,NC_002695.2,CP041955.1,2,2051047,1568522,0,1,27,False,False,356
mumer,NC_002695.2,CP041955.1,2,2056989,2617495,4,7,159,False,True,825
mumer,NC_002695.2,CP041955.1,2,2065443,2476466,0,0,7,False,False,326
mumer,NC_002695.2,CP041955.1,2,2067308,2476786,33,17,657,False,False,44188
mumer,NC_002695.2,CP041955.1,2,2069097,4650893,9,9,363,False,False,1803
mumer,NC_002695.2,CP041955.1,2,2071425,4653224,1,1,53,False,True,317
mumer,NC_002695.2,CP041955.1,2,2073622,1264596,1,0,12,False,False,125
mumer,NC_002695.2,CP041955.1,2,2092023,4587793,3,3,61,False,True,1507
mumer,NC_002695.2,CP041955.1,2,2114742,2520956,0,1,14,False,False,465
mumer,NC_002695.2,CP041955.1,2,2115331,2521531,0,6,31,False,False,1272
mumer,NC_002695.2,CP041955.1,2,2116605,2523417,25,11,352,False,False,19362
mumer,NC_002695.2,CP041955.1,2,2136440,2542768,0,2,345,False,False,10592
mumer,NC_002695.2,CP041955.1,2,2148577,2553420,1,2,129,False,False,9749
mumer,NC_002695.2,CP041955.1,2,2189686,2735573,0,0,4,False,False,219
