/home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_004431/NC_004431.fasta /home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_004431/../r_assembly.fna
NUCMER
show-coords
[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
236912	243367	1020028	1026485	6456	6458	98.50	NC_004431.1	CP041955.1
237038	240406	62316	65688	3369	3373	98.70	NC_004431.1	CP041955.1
236912	240286	4350646	4347281	3375	3366	98.46	NC_004431.1	CP041955.1
237038	239539	304666	307169	2502	2504	98.96	NC_004431.1	CP041955.1
243564	248636	1026460	1031532	5073	5073	98.15	NC_004431.1	CP041955.1
250131	250500	1972278	1971909	370	370	92.43	NC_004431.1	CP041955.1
257752	258091	4806990	4806651	340	340	92.35	NC_004431.1	CP041955.1
257752	258701	2017239	2016290	950	950	89.05	NC_004431.1	CP041955.1
258206	258580	4806499	4806124	375	376	91.78	NC_004431.1	CP041955.1
259225	260457	4806112	4804879	1233	1234	94.75	NC_004431.1	CP041955.1
259268	261833	3015195	3017760	2566	2566	95.92	NC_004431.1	CP041955.1
259268	260453	2016273	2015088	1186	1186	95.62	NC_004431.1	CP041955.1
260853	261834	2014924	2013955	982	970	87.59	NC_004431.1	CP041955.1
264176	268666	2013883	2009406	4491	4478	92.60	NC_004431.1	CP041955.1
268878	269127	3023791	3024039	250	249	91.63	NC_004431.1	CP041955.1
268878	269127	2006083	2005835	250	249	92.43	NC_004431.1	CP041955.1
269120	269411	3024470	3024761	292	292	95.90	NC_004431.1	CP041955.1
269120	269411	2005404	2005114	292	291	95.89	NC_004431.1	CP041955.1
281719	282896	3026724	3027898	1178	1175	92.20	NC_004431.1	CP041955.1
286034	286111	3029324	3029401	78	78	97.44	NC_004431.1	CP041955.1
286270	286710	3030046	3030486	441	441	89.16	NC_004431.1	CP041955.1
288360	288781	4796613	4796191	422	423	90.54	NC_004431.1	CP041955.1
298468	299355	1949444	1950342	888	899	93.33	NC_004431.1	CP041955.1
299549	309462	685244	675339	9914	9906	98.24	NC_004431.1	CP041955.1
305018	305154	4823258	4823119	137	140	86.43	NC_004431.1	CP041955.1
309658	310561	1950779	1951682	904	904	87.97	NC_004431.1	CP041955.1
331374	331898	1963586	1964111	525	526	98.86	NC_004431.1	CP041955.1
333165	333919	3032289	3033045	755	757	92.60	NC_004431.1	CP041955.1
334360	334909	4786588	4787138	550	551	91.49	NC_004431.1	CP041955.1
348569	355150	1063891	1070473	6582	6583	97.24	NC_004431.1	CP041955.1
355394	356147	1071312	1072066	754	755	92.45	NC_004431.1	CP041955.1
356350	359941	1072890	1076481	3592	3592	95.68	NC_004431.1	CP041955.1
359935	360561	1077234	1077861	627	628	95.54	NC_004431.1	CP041955.1
360564	360786	1077991	1078213	223	223	99.10	NC_004431.1	CP041955.1
361805	370301	1078205	1086700	8497	8496	97.28	NC_004431.1	CP041955.1
377496	377646	1086699	1086849	151	151	92.72	NC_004431.1	CP041955.1
377956	388926	1138108	1149084	10971	10977	96.55	NC_004431.1	CP041955.1
395160	399943	1149084	1153868	4784	4785	94.26	NC_004431.1	CP041955.1
400086	401206	1154032	1155147	1121	1116	93.67	NC_004431.1	CP041955.1
401932	409968	1155186	1163221	8037	8036	97.40	NC_004431.1	CP041955.1
415965	434652	1163220	1181916	18688	18697	95.96	NC_004431.1	CP041955.1
434653	439344	1182752	1187440	4692	4689	95.51	NC_004431.1	CP041955.1
439245	439344	1187434	1187533	100	100	97.00	NC_004431.1	CP041955.1
439245	446933	1187620	1195313	7689	7694	96.25	NC_004431.1	CP041955.1
439245	439344	1187527	1187626	100	100	98.00	NC_004431.1	CP041955.1
446885	453274	1199139	1205527	6390	6389	97.18	NC_004431.1	CP041955.1
453337	456655	1214650	1217965	3319	3316	96.96	NC_004431.1	CP041955.1
456653	460313	1219415	1223076	3661	3662	95.03	NC_004431.1	CP041955.1
460331	465160	1223879	1228774	4830	4896	94.32	NC_004431.1	CP041955.1
465329	465576	1228941	1229188	248	248	97.18	NC_004431.1	CP041955.1
466885	479837	1230332	1243286	12953	12955	97.67	NC_004431.1	CP041955.1
479919	498984	1243280	1262324	19066	19045	97.24	NC_004431.1	CP041955.1
499128	505150	1262343	1268364	6023	6022	98.11	NC_004431.1	CP041955.1
505150	512202	1268503	1275555	7053	7053	96.95	NC_004431.1	CP041955.1
512204	542209	1275682	1305676	30006	29995	98.20	NC_004431.1	CP041955.1
542915	572470	1305671	1335225	29556	29555	97.85	NC_004431.1	CP041955.1
572524	582684	1335383	1345546	10161	10164	97.71	NC_004431.1	CP041955.1
583087	583433	1345617	1345963	347	347	98.56	NC_004431.1	CP041955.1
583454	589023	1346141	1351709	5570	5569	96.98	NC_004431.1	CP041955.1
590389	598794	1351733	1360137	8406	8405	97.28	NC_004431.1	CP041955.1
598925	611870	1367429	1380372	12946	12944	96.76	NC_004431.1	CP041955.1
611891	621827	1380492	1390490	9937	9999	96.56	NC_004431.1	CP041955.1
622283	626884	1390528	1395128	4602	4601	97.31	NC_004431.1	CP041955.1
626967	627149	1401922	1402104	183	183	93.99	NC_004431.1	CP041955.1
628029	628951	2151267	2152189	923	923	96.32	NC_004431.1	CP041955.1
630712	640602	1403092	1412982	9891	9891	97.52	NC_004431.1	CP041955.1
640605	649011	1413110	1421434	8407	8325	96.81	NC_004431.1	CP041955.1
649003	649119	1422203	1422318	117	116	89.83	NC_004431.1	CP041955.1
649769	651587	1439815	1441634	1819	1820	95.77	NC_004431.1	CP041955.1
651576	660208	1442972	1451604	8633	8633	96.29	NC_004431.1	CP041955.1
660512	666799	1451877	1458164	6288	6288	95.72	NC_004431.1	CP041955.1
666797	674088	1458348	1465639	7292	7292	96.82	NC_004431.1	CP041955.1
674183	683810	1465804	1475508	9628	9705	93.46	NC_004431.1	CP041955.1
684088	701042	1477120	1494075	16955	16956	97.82	NC_004431.1	CP041955.1
701049	701200	1494479	1494630	152	152	98.03	NC_004431.1	CP041955.1
701194	715492	1494828	1509125	14299	14298	98.27	NC_004431.1	CP041955.1
715536	720044	1517101	1521609	4509	4509	96.78	NC_004431.1	CP041955.1
722221	732250	1521771	1531801	10030	10031	97.26	NC_004431.1	CP041955.1
732281	738704	1531972	1538395	6424	6424	97.51	NC_004431.1	CP041955.1
747836	749618	1538442	1540231	1783	1790	97.21	NC_004431.1	CP041955.1
750373	757639	1540403	1547667	7267	7265	97.70	NC_004431.1	CP041955.1
757627	760459	1549347	1552179	2833	2833	96.96	NC_004431.1	CP041955.1
760687	761306	1552177	1552796	620	620	83.12	NC_004431.1	CP041955.1
761796	761934	1549151	1549289	139	139	91.37	NC_004431.1	CP041955.1
761784	770127	1553245	1561587	8344	8343	96.12	NC_004431.1	CP041955.1
770138	772075	1571158	1573095	1938	1938	92.73	NC_004431.1	CP041955.1
772095	779380	1573222	1580508	7286	7287	95.86	NC_004431.1	CP041955.1
779417	784811	1585287	1590682	5395	5396	97.81	NC_004431.1	CP041955.1
784911	789344	1590592	1594964	4434	4373	96.59	NC_004431.1	CP041955.1
789359	791542	1595251	1597434	2184	2184	97.89	NC_004431.1	CP041955.1
794042	803300	1603658	1612915	9259	9258	98.65	NC_004431.1	CP041955.1
803283	803489	1612998	1613204	207	207	100.00	NC_004431.1	CP041955.1
803472	803702	1613285	1613515	231	231	98.70	NC_004431.1	CP041955.1
803620	803964	1613655	1613974	345	320	85.59	NC_004431.1	CP041955.1
803705	803819	1613616	1613730	115	115	97.39	NC_004431.1	CP041955.1
803911	806374	1614077	1616539	2464	2463	96.31	NC_004431.1	CP041955.1
806374	827467	1617092	1638177	21094	21086	97.47	NC_004431.1	CP041955.1
824898	825025	1412979	1413106	128	128	100.00	NC_004431.1	CP041955.1
824900	825025	3973617	3973742	126	126	99.21	NC_004431.1	CP041955.1
827468	829393	1638270	1640195	1926	1926	97.56	NC_004431.1	CP041955.1
830681	838335	1640192	1647846	7655	7655	96.21	NC_004431.1	CP041955.1
838332	855289	1647997	1664954	16958	16958	96.70	NC_004431.1	CP041955.1
855291	861563	1665255	1671528	6273	6274	97.26	NC_004431.1	CP041955.1
861727	868083	1671518	1677875	6357	6358	96.78	NC_004431.1	CP041955.1
868092	880068	1678028	1690002	11977	11975	97.78	NC_004431.1	CP041955.1
880133	908883	1691525	1720265	28751	28741	97.66	NC_004431.1	CP041955.1
942351	954019	1720252	1731922	11669	11671	97.41	NC_004431.1	CP041955.1
954022	1001252	1732095	1779336	47231	47242	97.14	NC_004431.1	CP041955.1
969144	969416	3151532	3151259	273	274	93.07	NC_004431.1	CP041955.1
1001257	1035289	1782565	1816596	34033	34032	97.68	NC_004431.1	CP041955.1
1035289	1044024	1816768	1825504	8736	8737	97.87	NC_004431.1	CP041955.1
1044241	1048515	1825569	1829842	4275	4274	94.85	NC_004431.1	CP041955.1
1048591	1051604	1837713	1840727	3014	3015	97.38	NC_004431.1	CP041955.1
1051604	1075951	1840873	1865207	24348	24335	97.93	NC_004431.1	CP041955.1
1076165	1085695	1865252	1874782	9531	9531	97.51	NC_004431.1	CP041955.1
1085706	1097267	1883064	1894626	11562	11563	97.03	NC_004431.1	CP041955.1
1097346	1098878	1894503	1896037	1533	1535	96.95	NC_004431.1	CP041955.1
1098879	1101999	1897297	1900428	3121	3132	96.14	NC_004431.1	CP041955.1
1101977	1114312	1900581	1912916	12336	12336	97.21	NC_004431.1	CP041955.1
1114425	1127377	1913352	1926297	12953	12946	97.38	NC_004431.1	CP041955.1
1127426	1127541	1929201	1929316	116	116	92.24	NC_004431.1	CP041955.1
1127426	1134669	1929382	1936621	7244	7240	98.07	NC_004431.1	CP041955.1
1127467	1127541	1929061	1929135	75	75	96.00	NC_004431.1	CP041955.1
1134967	1135923	1936770	1937724	957	955	91.66	NC_004431.1	CP041955.1
1140273	1141047	4196013	4195240	775	774	96.52	NC_004431.1	CP041955.1
1141036	1141365	4194997	4194668	330	330	97.88	NC_004431.1	CP041955.1
1141440	1142830	4193667	4192277	1391	1391	83.94	NC_004431.1	CP041955.1
1142987	1143447	4795889	4795421	461	469	87.34	NC_004431.1	CP041955.1
1142987	1143591	1950533	1951142	605	610	84.30	NC_004431.1	CP041955.1
1170324	1170876	4787138	4786588	553	551	93.49	NC_004431.1	CP041955.1
1171317	1172058	3033045	3032304	742	742	95.96	NC_004431.1	CP041955.1
1174408	1175059	1926345	1926995	652	651	85.30	NC_004431.1	CP041955.1
1184175	1186404	1949440	1951665	2230	2226	91.53	NC_004431.1	CP041955.1
1185224	1185739	4795934	4795419	516	516	88.20	NC_004431.1	CP041955.1
1196879	1197980	664985	663884	1102	1102	99.36	NC_004431.1	CP041955.1
1212460	1212985	2147140	2147665	526	526	99.62	NC_004431.1	CP041955.1
1212977	1213773	4291203	4291999	797	797	100.00	NC_004431.1	CP041955.1
1224320	1225281	3024753	3023791	962	963	95.85	NC_004431.1	CP041955.1
1224311	1225281	2005113	2006083	971	971	95.98	NC_004431.1	CP041955.1
1227649	1228730	2008219	2009300	1082	1082	92.90	NC_004431.1	CP041955.1
1227649	1228733	3019068	3017984	1085	1085	93.38	NC_004431.1	CP041955.1
1232004	1233160	4803605	4804747	1157	1143	86.61	NC_004431.1	CP041955.1
1232151	1233132	2013956	2014924	982	969	89.43	NC_004431.1	CP041955.1
1232150	1234405	3017761	3015431	2256	2331	91.70	NC_004431.1	CP041955.1
1233452	1234405	4804879	4805837	954	959	94.48	NC_004431.1	CP041955.1
1236821	1237094	4805837	4806106	274	270	93.07	NC_004431.1	CP041955.1
1236816	1237057	3015436	3015195	242	242	96.28	NC_004431.1	CP041955.1
1236816	1237057	2016032	2016273	242	242	93.39	NC_004431.1	CP041955.1
1237608	1238121	3015194	3014681	514	514	89.49	NC_004431.1	CP041955.1
1237608	1239333	2016274	2017988	1726	1715	88.30	NC_004431.1	CP041955.1
1240042	1246990	2017986	2024931	6949	6946	97.09	NC_004431.1	CP041955.1
1246983	1288389	2025700	2067106	41407	41407	97.86	NC_004431.1	CP041955.1
1288381	1311710	2067875	2091187	23330	23313	98.36	NC_004431.1	CP041955.1
1312416	1333130	2091182	2111897	20715	20716	97.38	NC_004431.1	CP041955.1
1333456	1333611	2112340	2112495	156	156	98.08	NC_004431.1	CP041955.1
1334491	1338543	2113573	2117632	4053	4060	97.10	NC_004431.1	CP041955.1
1338868	1339945	2117666	2118743	1078	1078	89.70	NC_004431.1	CP041955.1
1340251	1341557	2119053	2120358	1307	1306	97.63	NC_004431.1	CP041955.1
1341545	1342269	1943542	1944265	725	724	97.80	NC_004431.1	CP041955.1
1342262	1342518	2120352	2120611	257	260	90.84	NC_004431.1	CP041955.1
1343221	1345116	2121260	2123154	1896	1895	97.42	NC_004431.1	CP041955.1
1345409	1346233	2123174	2123997	825	824	92.48	NC_004431.1	CP041955.1
1345996	1346662	1102268	1102933	667	666	92.65	NC_004431.1	CP041955.1
1347362	1347623	1102968	1103229	262	262	90.53	NC_004431.1	CP041955.1
1362556	1363591	1116854	1117889	1036	1036	84.02	NC_004431.1	CP041955.1
1362556	1363591	2138035	2139070	1036	1036	85.37	NC_004431.1	CP041955.1
1367682	1368803	2142632	2143753	1122	1122	91.01	NC_004431.1	CP041955.1
1368136	1368803	1121923	1122592	668	670	85.67	NC_004431.1	CP041955.1
1369408	1369567	1123509	1123668	160	160	87.50	NC_004431.1	CP041955.1
1369408	1369567	2144670	2144829	160	160	86.88	NC_004431.1	CP041955.1
1371701	1377758	2151310	2157367	6058	6058	98.02	NC_004431.1	CP041955.1
1389204	1397321	2157361	2165476	8118	8116	97.86	NC_004431.1	CP041955.1
1421662	1422631	1101542	1102511	970	970	94.54	NC_004431.1	CP041955.1
1422383	1423290	2123755	2124664	908	910	93.08	NC_004431.1	CP041955.1
1438404	1439900	1116461	1117957	1497	1497	93.86	NC_004431.1	CP041955.1
1438352	1439900	2137590	2139138	1549	1549	92.84	NC_004431.1	CP041955.1
1440130	1443533	2139344	2142746	3404	3403	95.71	NC_004431.1	CP041955.1
1440130	1443462	1118163	1121495	3333	3333	95.41	NC_004431.1	CP041955.1
1451721	1451885	1132261	1132422	165	162	89.70	NC_004431.1	CP041955.1
1452236	1457080	2166292	2171134	4845	4843	96.10	NC_004431.1	CP041955.1
1457084	1459624	2171806	2174350	2541	2545	95.80	NC_004431.1	CP041955.1
1459625	1459856	2175086	2175317	232	232	96.55	NC_004431.1	CP041955.1
1459856	1467821	2175710	2183655	7966	7946	97.68	NC_004431.1	CP041955.1
1461206	1461560	3668452	3668097	355	356	87.92	NC_004431.1	CP041955.1
1461560	1461913	3663831	3663477	354	355	95.21	NC_004431.1	CP041955.1
1467872	1472980	2184403	2189513	5109	5111	97.87	NC_004431.1	CP041955.1
1473135	1477382	2189556	2193803	4248	4248	98.56	NC_004431.1	CP041955.1
1477425	1482150	2194175	2198900	4726	4726	97.06	NC_004431.1	CP041955.1
1488945	1496185	2199585	2206826	7241	7242	98.07	NC_004431.1	CP041955.1
1496595	1509430	2210567	2223398	12836	12832	97.65	NC_004431.1	CP041955.1
1508961	1518153	2224003	2233201	9193	9199	97.87	NC_004431.1	CP041955.1
1508961	1509436	2223468	2223939	476	472	92.45	NC_004431.1	CP041955.1
1518154	1525203	2233325	2240374	7050	7050	97.23	NC_004431.1	CP041955.1
1520827	1521081	2471346	2471092	255	255	83.53	NC_004431.1	CP041955.1
1522649	1523114	2469527	2469062	466	466	80.98	NC_004431.1	CP041955.1
1532207	1532409	2240730	2240932	203	203	95.07	NC_004431.1	CP041955.1
1532207	1532527	2240908	2241229	321	322	96.90	NC_004431.1	CP041955.1
1532207	1532409	2240552	2240754	203	203	96.06	NC_004431.1	CP041955.1
1532508	1539403	2241385	2248282	6896	6898	98.32	NC_004431.1	CP041955.1
1540496	1559664	2249219	2268390	19169	19172	98.11	NC_004431.1	CP041955.1
1559665	1574017	2268710	2283066	14353	14357	96.60	NC_004431.1	CP041955.1
1574727	1579374	2283065	2287712	4648	4648	98.26	NC_004431.1	CP041955.1
1579367	1595453	2288481	2304587	16087	16107	98.03	NC_004431.1	CP041955.1
1603358	1609425	2305263	2311330	6068	6068	97.74	NC_004431.1	CP041955.1
1609422	1633345	2320178	2344150	23924	23973	96.04	NC_004431.1	CP041955.1
1634010	1642423	2344150	2352563	8414	8414	98.45	NC_004431.1	CP041955.1
1642543	1642871	2357757	2358084	329	328	84.55	NC_004431.1	CP041955.1
1644621	1650593	2358196	2364168	5973	5973	98.12	NC_004431.1	CP041955.1
1652854	1664010	2364280	2375437	11157	11158	97.53	NC_004431.1	CP041955.1
1664010	1665925	2394242	2396159	1916	1918	85.83	NC_004431.1	CP041955.1
1669263	1671532	2399524	2401781	2270	2258	87.32	NC_004431.1	CP041955.1
1671639	1686142	2404130	2418634	14504	14505	96.31	NC_004431.1	CP041955.1
1686152	1695647	2420274	2429768	9496	9495	98.10	NC_004431.1	CP041955.1
1695648	1699980	2431517	2435849	4333	4333	97.90	NC_004431.1	CP041955.1
1699980	1709389	2436294	2445702	9410	9409	97.06	NC_004431.1	CP041955.1
1709390	1709538	2447035	2447183	149	149	93.96	NC_004431.1	CP041955.1
1709539	1715523	2447490	2453470	5985	5981	96.59	NC_004431.1	CP041955.1
1715791	1715925	1570164	1570297	135	134	92.59	NC_004431.1	CP041955.1
1715796	1715925	4547075	4547204	130	130	92.31	NC_004431.1	CP041955.1
1715771	1715925	1062626	1062780	155	155	92.26	NC_004431.1	CP041955.1
1728047	1730956	2464321	2467227	2910	2907	93.75	NC_004431.1	CP041955.1
1731069	1739027	2467340	2475285	7959	7946	96.26	NC_004431.1	CP041955.1
1734821	1735075	2236252	2235998	255	255	82.75	NC_004431.1	CP041955.1
1739037	1745333	2477248	2483547	6297	6300	97.56	NC_004431.1	CP041955.1
1740365	1741639	205291	204017	1275	1275	79.91	NC_004431.1	CP041955.1
1745755	1750064	2483651	2487960	4310	4310	96.75	NC_004431.1	CP041955.1
1750133	1752799	2494135	2496799	2667	2665	97.34	NC_004431.1	CP041955.1
1752846	1775758	2498063	2520956	22913	22894	97.57	NC_004431.1	CP041955.1
1756314	1757817	4587793	4589296	1504	1504	94.82	NC_004431.1	CP041955.1
1779039	1779272	2520956	2521190	234	235	93.62	NC_004431.1	CP041955.1
1781762	1783612	2521627	2523473	1851	1847	95.68	NC_004431.1	CP041955.1
1783646	1788302	2538101	2542767	4657	4667	96.72	NC_004431.1	CP041955.1
1788801	1792755	2542768	2546722	3955	3955	96.99	NC_004431.1	CP041955.1
1792765	1796114	2547735	2551084	3350	3350	97.22	NC_004431.1	CP041955.1
1802400	1806345	2551123	2555067	3946	3945	97.69	NC_004431.1	CP041955.1
1806386	1852066	2556086	2601776	45681	45691	97.95	NC_004431.1	CP041955.1
1852066	1889726	2601957	2639602	37661	37646	97.85	NC_004431.1	CP041955.1
1889717	1924856	2643981	2679193	35140	35213	97.48	NC_004431.1	CP041955.1
1924864	1959857	2679376	2714369	34994	34994	97.93	NC_004431.1	CP041955.1
1959860	1967423	2715239	2722804	7564	7566	97.78	NC_004431.1	CP041955.1
1967487	1970166	2723917	2726596	2680	2680	96.83	NC_004431.1	CP041955.1
1970533	1997558	2727165	2754192	27026	27028	97.02	NC_004431.1	CP041955.1
2002376	2038287	2755625	2791531	35912	35907	97.86	NC_004431.1	CP041955.1
2038283	2038445	2792744	2792907	163	164	93.29	NC_004431.1	CP041955.1
2038469	2100295	2797268	2859092	61827	61825	97.91	NC_004431.1	CP041955.1
2100299	2113351	2859221	2872273	13053	13053	97.28	NC_004431.1	CP041955.1
2113391	2115765	2873044	2875419	2375	2376	96.68	NC_004431.1	CP041955.1
2115836	2120319	2875403	2879879	4484	4477	97.70	NC_004431.1	CP041955.1
2120308	2148220	2881242	2909153	27913	27912	97.83	NC_004431.1	CP041955.1
2140718	2140793	541590	541515	76	76	100.00	NC_004431.1	CP041955.1
2140718	2140793	541701	541626	76	76	100.00	NC_004431.1	CP041955.1
2140718	2140793	541357	541282	76	76	100.00	NC_004431.1	CP041955.1
2148926	2151769	2909148	2911991	2844	2844	98.24	NC_004431.1	CP041955.1
2152754	2160183	2913201	2920628	7430	7428	97.07	NC_004431.1	CP041955.1
2164320	2185946	2922039	2943642	21627	21604	97.54	NC_004431.1	CP041955.1
2186851	2193664	2944562	2951371	6814	6810	96.58	NC_004431.1	CP041955.1
2193887	2194347	2952368	2952828	461	461	96.31	NC_004431.1	CP041955.1
2216841	2217998	2952815	2953972	1158	1158	98.45	NC_004431.1	CP041955.1
2250151	2250473	2954560	2954891	323	332	92.77	NC_004431.1	CP041955.1
2250475	2250948	2958585	2959059	474	475	95.37	NC_004431.1	CP041955.1
2250938	2252550	2959361	2960976	1613	1616	93.25	NC_004431.1	CP041955.1
2252621	2258251	2961478	2967111	5631	5634	98.28	NC_004431.1	CP041955.1
2258244	2258615	3043906	3043535	372	372	97.85	NC_004431.1	CP041955.1
2258512	2262825	3039322	3043635	4314	4314	98.31	NC_004431.1	CP041955.1
2258512	2258615	2953975	2953872	104	104	99.04	NC_004431.1	CP041955.1
2316272	2316502	1926575	1926345	231	231	94.81	NC_004431.1	CP041955.1
2317208	2321641	3039341	3034908	4434	4434	98.76	NC_004431.1	CP041955.1
2324842	2326638	1961918	1960128	1797	1791	88.93	NC_004431.1	CP041955.1
2328409	2330937	1221997	1219469	2529	2529	95.22	NC_004431.1	CP041955.1
2336026	2336319	4507930	4508224	294	295	92.20	NC_004431.1	CP041955.1
2336351	2336915	4787151	4786588	565	564	93.81	NC_004431.1	CP041955.1
2337356	2338721	3033045	3031679	1366	1367	96.93	NC_004431.1	CP041955.1
2338720	2340475	3030514	3028762	1756	1753	97.89	NC_004431.1	CP041955.1
2340531	2341183	3028599	3027945	653	655	98.17	NC_004431.1	CP041955.1
2341182	2342642	1997317	1995859	1461	1459	99.66	NC_004431.1	CP041955.1
2341184	2342643	1219419	1217960	1460	1460	99.59	NC_004431.1	CP041955.1
2341184	2342643	3064271	3062811	1460	1461	99.52	NC_004431.1	CP041955.1
2341185	2342643	3382864	3384322	1459	1459	99.59	NC_004431.1	CP041955.1
2342637	2343327	3027941	3027250	691	692	90.90	NC_004431.1	CP041955.1
2345737	2346109	3027255	3026883	373	373	87.13	NC_004431.1	CP041955.1
2357803	2358093	3024761	3024470	291	292	94.52	NC_004431.1	CP041955.1
2358086	2358334	2005835	2006083	249	249	91.60	NC_004431.1	CP041955.1
2358086	2358334	3024039	3023791	249	249	93.20	NC_004431.1	CP041955.1
2358546	2362988	2009406	2013848	4443	4443	95.12	NC_004431.1	CP041955.1
2364208	2366542	2013958	2016273	2335	2316	92.38	NC_004431.1	CP041955.1
2365351	2368022	3016380	3013614	2672	2767	90.21	NC_004431.1	CP041955.1
2365302	2367541	4804834	4807088	2240	2255	92.42	NC_004431.1	CP041955.1
2367116	2367541	2016900	2017337	426	438	90.18	NC_004431.1	CP041955.1
2368023	2368180	1997992	1997835	158	158	93.67	NC_004431.1	CP041955.1
2368182	2370794	3009838	3007227	2613	2612	98.70	NC_004431.1	CP041955.1
2370787	2373685	3005910	3003012	2899	2899	98.07	NC_004431.1	CP041955.1
2373759	2385240	3001491	2990009	11482	11483	97.04	NC_004431.1	CP041955.1
2401269	2401597	3054684	3055012	329	329	83.69	NC_004431.1	CP041955.1
2425434	2427021	3056855	3058442	1588	1588	95.72	NC_004431.1	CP041955.1
2427029	2431013	3058834	3062818	3985	3985	99.12	NC_004431.1	CP041955.1
2431015	2440462	3064273	3073668	9448	9396	94.82	NC_004431.1	CP041955.1
2439889	2452130	3073420	3085661	12242	12242	95.12	NC_004431.1	CP041955.1
2457333	2459110	3085684	3087461	1778	1778	97.24	NC_004431.1	CP041955.1
2459280	2467344	3087461	3095524	8065	8064	96.37	NC_004431.1	CP041955.1
2468073	2478136	3095544	3105609	10064	10066	97.43	NC_004431.1	CP041955.1
2479112	2483123	3106580	3110591	4012	4012	96.81	NC_004431.1	CP041955.1
2483833	2488056	3110588	3114813	4224	4226	95.53	NC_004431.1	CP041955.1
2487871	2489445	3118438	3120012	1575	1575	93.02	NC_004431.1	CP041955.1
2489897	2520745	3120470	3151211	30849	30742	95.76	NC_004431.1	CP041955.1
2521143	2525685	3151592	3156134	4543	4543	98.28	NC_004431.1	CP041955.1
2525683	2528238	3156335	3158890	2556	2556	95.89	NC_004431.1	CP041955.1
2528427	2543833	3158907	3174299	15407	15393	97.64	NC_004431.1	CP041955.1
