/home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_002695/NC_002695.fasta /home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_002695/../r_assembly.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
291227	291312	3156132	3156217	86	86	95.35	NC_002695.2	CP041955.1
291228	291354	3973742	3973616	127	127	96.85	NC_002695.2	CP041955.1
291228	291353	1413106	1412981	126	126	97.62	NC_002695.2	CP041955.1
291221	291353	1275688	1275556	133	133	93.98	NC_002695.2	CP041955.1
308457	308796	2952876	2952537	340	340	97.35	NC_002695.2	CP041955.1
310372	310645	1132257	1132533	274	277	95.70	NC_002695.2	CP041955.1
323515	323995	1132517	1132997	481	481	97.09	NC_002695.2	CP041955.1
330125	345357	1132993	1148224	15233	15232	97.94	NC_002695.2	CP041955.1
347800	348665	1148217	1149084	866	868	97.47	NC_002695.2	CP041955.1
353381	359427	1149084	1155147	6047	6064	94.19	NC_002695.2	CP041955.1
360153	368187	1155186	1163221	8035	8036	98.52	NC_002695.2	CP041955.1
373135	379201	1163219	1169283	6067	6065	97.13	NC_002695.2	CP041955.1
384171	391613	1170429	1177862	7443	7434	97.49	NC_002695.2	CP041955.1
391433	391574	1177589	1177730	142	142	97.18	NC_002695.2	CP041955.1
391440	391574	1177503	1177637	135	135	100.00	NC_002695.2	CP041955.1
391576	394159	1177732	1180315	2584	2584	96.52	NC_002695.2	CP041955.1
399423	406388	1180473	1187440	6966	6968	98.06	NC_002695.2	CP041955.1
406294	411186	1187620	1192516	4893	4897	97.77	NC_002695.2	CP041955.1
406294	406388	1187527	1187626	95	100	94.00	NC_002695.2	CP041955.1
406294	406388	1187434	1187533	95	100	93.00	NC_002695.2	CP041955.1
411598	414650	1192365	1195421	3053	3057	97.10	NC_002695.2	CP041955.1
414465	424357	1195622	1205527	9893	9906	97.34	NC_002695.2	CP041955.1
426192	433564	1205538	1212910	7373	7373	98.51	NC_002695.2	CP041955.1
433524	435627	1213274	1215376	2104	2103	97.86	NC_002695.2	CP041955.1
435520	435627	1213078	1212970	108	109	86.36	NC_002695.2	CP041955.1
435520	435627	1213179	1213071	108	109	86.36	NC_002695.2	CP041955.1
435520	435627	1212977	1212869	108	109	84.55	NC_002695.2	CP041955.1
435520	438072	1215369	1217920	2553	2552	97.65	NC_002695.2	CP041955.1
446197	451338	1224033	1229172	5142	5140	96.60	NC_002695.2	CP041955.1
453080	465572	1230794	1243286	12493	12493	98.85	NC_002695.2	CP041955.1
465654	468383	1243280	1246009	2730	2730	98.17	NC_002695.2	CP041955.1
470323	470692	1246015	1246384	370	370	95.68	NC_002695.2	CP041955.1
471055	473259	1246375	1248576	2205	2202	99.05	NC_002695.2	CP041955.1
473163	486314	1248584	1261738	13152	13155	98.81	NC_002695.2	CP041955.1
487974	494107	1261749	1267883	6134	6135	98.76	NC_002695.2	CP041955.1
494795	501356	1267945	1274506	6562	6562	98.61	NC_002695.2	CP041955.1
503340	504328	1274567	1275555	989	989	96.46	NC_002695.2	CP041955.1
504330	555964	1275682	1327303	51635	51622	98.70	NC_002695.2	CP041955.1
556022	563716	1327531	1335225	7695	7695	98.80	NC_002695.2	CP041955.1
563770	579586	1335383	1351200	15817	15818	98.27	NC_002695.2	CP041955.1
605061	605564	1351202	1351704	504	503	94.05	NC_002695.2	CP041955.1
608227	620772	1351733	1364286	12546	12554	97.21	NC_002695.2	CP041955.1
617058	620797	2456755	2460500	3740	3746	93.72	NC_002695.2	CP041955.1
618669	620311	4683774	4685410	1643	1637	80.61	NC_002695.2	CP041955.1
618669	620311	1563368	1565004	1643	1637	80.36	NC_002695.2	CP041955.1
618669	620300	4543631	4545256	1632	1626	80.48	NC_002695.2	CP041955.1
620577	664478	1365287	1409321	43902	44035	98.16	NC_002695.2	CP041955.1
664592	665885	4548340	4547047	1294	1294	97.07	NC_002695.2	CP041955.1
664592	665857	2464001	2462736	1266	1266	97.55	NC_002695.2	CP041955.1
664591	665883	1570167	1568876	1293	1292	95.44	NC_002695.2	CP041955.1
664603	665882	1063905	1062626	1280	1280	96.02	NC_002695.2	CP041955.1
664970	665857	1571055	1570168	888	888	94.71	NC_002695.2	CP041955.1
665502	665882	1568876	1568497	381	380	92.13	NC_002695.2	CP041955.1
673858	675423	2456111	2454546	1566	1566	95.34	NC_002695.2	CP041955.1
673858	675401	1057051	1055508	1544	1544	92.49	NC_002695.2	CP041955.1
676008	679642	1409348	1412982	3635	3635	96.86	NC_002695.2	CP041955.1
679645	687950	1413110	1421434	8306	8325	98.09	NC_002695.2	CP041955.1
687942	688056	1422203	1422317	115	115	100.00	NC_002695.2	CP041955.1
688708	690513	1439815	1441634	1806	1820	96.98	NC_002695.2	CP041955.1
690502	690592	1442972	1443062	91	91	98.90	NC_002695.2	CP041955.1
690627	691016	1441245	1441634	390	390	95.64	NC_002695.2	CP041955.1
691005	706197	1442972	1458164	15193	15193	97.64	NC_002695.2	CP041955.1
691754	691898	1531967	1531823	145	145	90.41	NC_002695.2	CP041955.1
706195	720979	1458348	1473132	14785	14785	97.98	NC_002695.2	CP041955.1
720994	779540	1473263	1531801	58547	58539	98.43	NC_002695.2	CP041955.1
779571	795270	1531972	1547669	15700	15698	98.59	NC_002695.2	CP041955.1
795256	798088	1549347	1552179	2833	2833	97.85	NC_002695.2	CP041955.1
798308	798659	1552169	1552520	352	352	89.20	NC_002695.2	CP041955.1
799475	811738	1553242	1565506	12264	12265	97.70	NC_002695.2	CP041955.1
808008	811698	4542039	4545696	3691	3658	97.32	NC_002695.2	CP041955.1
807893	811654	4682067	4685828	3762	3762	97.98	NC_002695.2	CP041955.1
811270	811725	4687198	4687652	456	455	94.08	NC_002695.2	CP041955.1
810704	812815	1566343	1568453	2112	2111	97.96	NC_002695.2	CP041955.1
814219	815498	1062626	1063905	1280	1280	96.64	NC_002695.2	CP041955.1
814219	815509	4547050	4548340	1291	1291	97.99	NC_002695.2	CP041955.1
814244	814599	1568522	1568876	356	355	92.70	NC_002695.2	CP041955.1
814244	815509	1568902	1570166	1266	1265	95.66	NC_002695.2	CP041955.1
814218	815510	2462710	2464002	1293	1293	97.45	NC_002695.2	CP041955.1
814243	815131	1570167	1571055	889	889	95.73	NC_002695.2	CP041955.1
815591	828480	1571139	1584025	12890	12887	91.46	NC_002695.2	CP041955.1
829849	839415	1585398	1594964	9567	9567	98.80	NC_002695.2	CP041955.1
839430	841617	1595251	1597438	2188	2188	99.04	NC_002695.2	CP041955.1
855879	865055	1603658	1612915	9177	9258	98.01	NC_002695.2	CP041955.1
865038	865244	1612998	1613204	207	207	98.55	NC_002695.2	CP041955.1
865227	865679	1613285	1613737	453	453	97.79	NC_002695.2	CP041955.1
865375	865708	1613655	1613974	334	320	86.39	NC_002695.2	CP041955.1
865274	865548	1613029	1613302	275	274	96.73	NC_002695.2	CP041955.1
865596	865674	1612839	1612917	79	79	100.00	NC_002695.2	CP041955.1
865655	889743	1614077	1638156	24089	24080	98.04	NC_002695.2	CP041955.1
887194	887321	1412979	1413106	128	128	100.00	NC_002695.2	CP041955.1
889662	891127	1638167	1639632	1466	1466	97.82	NC_002695.2	CP041955.1
901882	921180	1101633	1120931	19299	19299	97.59	NC_002695.2	CP041955.1
902517	902754	2123760	2123997	238	238	88.66	NC_002695.2	CP041955.1
916725	921180	2137657	2142112	4456	4456	94.86	NC_002695.2	CP041955.1
922133	923210	2143129	2144207	1078	1079	91.32	NC_002695.2	CP041955.1
929695	954608	1639614	1664523	24914	24910	97.82	NC_002695.2	CP041955.1
957416	970040	1665261	1677875	12625	12615	98.01	NC_002695.2	CP041955.1
970049	988583	1678028	1696638	18535	18611	98.09	NC_002695.2	CP041955.1
988687	1000997	1696639	1708938	12311	12300	98.44	NC_002695.2	CP041955.1
1001994	1024923	1708981	1731902	22930	22922	98.61	NC_002695.2	CP041955.1
1028442	1033083	1732111	1736752	4642	4642	95.41	NC_002695.2	CP041955.1
1035651	1046072	1736805	1747225	10422	10421	97.24	NC_002695.2	CP041955.1
1046110	1046384	1747550	1747275	275	276	90.58	NC_002695.2	CP041955.1
1046111	1046376	3151265	3151532	266	268	90.74	NC_002695.2	CP041955.1
1046425	1079887	1747616	1781039	33463	33424	98.76	NC_002695.2	CP041955.1
1079928	1113973	1782551	1816596	34046	34046	98.73	NC_002695.2	CP041955.1
1113955	1133518	1816750	1836313	19564	19564	98.00	NC_002695.2	CP041955.1
1133509	1161156	1837081	1864729	27648	27649	99.18	NC_002695.2	CP041955.1
1165534	1166061	2111098	2111618	528	521	90.04	NC_002695.2	CP041955.1
1168723	1169151	2113573	2114001	429	429	91.16	NC_002695.2	CP041955.1
1170414	1170983	2114550	2115143	570	594	91.41	NC_002695.2	CP041955.1
1172536	1172922	2115177	2115562	387	386	89.66	NC_002695.2	CP041955.1
1174501	1176041	2117201	2118742	1541	1542	91.44	NC_002695.2	CP041955.1
1179715	1179924	2121259	2121467	210	209	92.86	NC_002695.2	CP041955.1
1189603	1189828	709643	709418	226	226	98.67	NC_002695.2	CP041955.1
1206254	1207892	2142569	2144207	1639	1639	93.48	NC_002695.2	CP041955.1
1206794	1207892	1121946	1123046	1099	1101	95.46	NC_002695.2	CP041955.1
1210854	1211424	1864634	1865207	571	574	97.56	NC_002695.2	CP041955.1
1211638	1246166	1865252	1899770	34529	34519	97.89	NC_002695.2	CP041955.1
1272720	1273004	2122526	2122810	285	285	93.33	NC_002695.2	CP041955.1
1274608	1275325	2123831	2124545	718	715	90.11	NC_002695.2	CP041955.1
1308858	1309466	1899754	1900428	609	675	88.02	NC_002695.2	CP041955.1
1309444	1321776	1900581	1912913	12333	12333	97.75	NC_002695.2	CP041955.1
1324321	1337338	1913327	1926345	13018	13019	99.32	NC_002695.2	CP041955.1
1369079	1370611	1927603	1929135	1533	1533	98.63	NC_002695.2	CP041955.1
1370537	1381554	1929423	1940482	11018	11060	98.36	NC_002695.2	CP041955.1
1384474	1384831	3052071	3051714	358	358	99.72	NC_002695.2	CP041955.1
1384474	1384831	3034236	3034593	358	358	99.72	NC_002695.2	CP041955.1
1384806	1385770	3052909	3053873	965	965	98.76	NC_002695.2	CP041955.1
1384842	1385772	690944	690014	931	931	99.46	NC_002695.2	CP041955.1
1384945	1385770	1948671	1947845	826	827	98.91	NC_002695.2	CP041955.1
1395812	1396186	3033419	3033045	375	375	99.73	NC_002695.2	CP041955.1
1395833	1396186	3051739	3051386	354	354	98.87	NC_002695.2	CP041955.1
1395868	1396185	690945	691262	318	318	99.69	NC_002695.2	CP041955.1
1401236	1401568	679445	679113	333	333	89.49	NC_002695.2	CP041955.1
1425145	1425860	4796613	4795914	716	700	85.56	NC_002695.2	CP041955.1
1427825	1428594	4687826	4688595	770	770	90.78	NC_002695.2	CP041955.1
1427826	1428599	706106	705334	774	773	99.35	NC_002695.2	CP041955.1
1427827	1428594	2025699	2024932	768	768	92.97	NC_002695.2	CP041955.1
1427827	1428599	1223079	1223850	773	772	93.01	NC_002695.2	CP041955.1
1427827	1428594	1836314	1837081	768	768	93.10	NC_002695.2	CP041955.1
1427827	1428595	4168757	4169525	769	769	96.36	NC_002695.2	CP041955.1
1427827	1428595	737527	736760	769	768	99.09	NC_002695.2	CP041955.1
1427826	1432041	1948671	1952886	4216	4216	99.67	NC_002695.2	CP041955.1
1427827	1428601	2967112	2967886	775	775	90.97	NC_002695.2	CP041955.1
1427826	1428594	3044675	3043907	769	769	91.03	NC_002695.2	CP041955.1
1427816	1428594	669914	669136	779	779	98.46	NC_002695.2	CP041955.1
1427826	1428594	4203898	4204666	769	769	91.03	NC_002695.2	CP041955.1
1427827	1428594	1422202	1421435	768	768	90.76	NC_002695.2	CP041955.1
1427826	1428598	2988995	2988223	773	773	91.07	NC_002695.2	CP041955.1
1427827	1428594	716870	717636	768	767	91.02	NC_002695.2	CP041955.1
1427827	1428601	2288480	2287706	775	775	90.84	NC_002695.2	CP041955.1
1427827	1428595	2067107	2067875	769	769	91.03	NC_002695.2	CP041955.1
1427827	1428598	4760682	4761454	772	773	90.17	NC_002695.2	CP041955.1
1427827	1428594	4770590	4769823	768	768	90.49	NC_002695.2	CP041955.1
1429663	1430153	4795914	4795421	491	494	87.07	NC_002695.2	CP041955.1
1432039	1432562	1986153	1985629	524	525	96.20	NC_002695.2	CP041955.1
1432039	1432562	1963587	1964111	524	525	93.73	NC_002695.2	CP041955.1
1432038	1432562	4288415	4288939	525	525	94.11	NC_002695.2	CP041955.1
1432039	1432562	2147142	2147665	524	524	94.10	NC_002695.2	CP041955.1
1433349	1434606	1952881	1954138	1258	1258	100.00	NC_002695.2	CP041955.1
1434599	1441725	1956718	1963845	7127	7128	99.89	NC_002695.2	CP041955.1
1441467	1441725	4288416	4288674	259	259	100.00	NC_002695.2	CP041955.1
1441467	1441725	2147142	2147400	259	259	100.00	NC_002695.2	CP041955.1
1441467	1442307	1972961	1972121	841	841	98.22	NC_002695.2	CP041955.1
1442952	1444638	2005114	2006800	1687	1687	93.85	NC_002695.2	CP041955.1
1442960	1444325	3024753	3023387	1366	1367	94.89	NC_002695.2	CP041955.1
1444321	1444638	3020804	3020487	318	318	93.08	NC_002695.2	CP041955.1
1445209	1462772	2007368	2024931	17564	17564	98.88	NC_002695.2	CP041955.1
1444997	1447141	3020131	3017987	2145	2145	93.86	NC_002695.2	CP041955.1
1451740	1452765	3017817	3016783	1026	1035	89.67	NC_002695.2	CP041955.1
1452085	1454114	4804039	4806073	2030	2035	89.81	NC_002695.2	CP041955.1
1452928	1455196	3016381	3014077	2269	2305	91.16	NC_002695.2	CP041955.1
1454741	1456677	4806651	4808593	1937	1943	91.41	NC_002695.2	CP041955.1
1462765	1493844	2025700	2056779	31080	31080	98.48	NC_002695.2	CP041955.1
1493949	1504136	2056918	2067106	10188	10189	98.37	NC_002695.2	CP041955.1
1504128	1539657	2067875	2103384	35530	35510	98.60	NC_002695.2	CP041955.1
1539683	1543582	2104697	2108596	3900	3900	99.18	NC_002695.2	CP041955.1
1544502	1544649	2112342	2112492	148	151	92.72	NC_002695.2	CP041955.1
1545708	1546081	2113573	2113946	374	374	84.53	NC_002695.2	CP041955.1
1551100	1552665	2117177	2118743	1566	1567	89.80	NC_002695.2	CP041955.1
1552983	1554272	2119064	2120354	1290	1291	88.85	NC_002695.2	CP041955.1
1555255	1555406	2122106	2122257	152	152	94.74	NC_002695.2	CP041955.1
1589999	1594719	2152647	2157367	4721	4721	98.60	NC_002695.2	CP041955.1
1610174	1618289	2157361	2165476	8116	8116	98.44	NC_002695.2	CP041955.1
1627494	1628279	2123760	2124545	786	786	90.71	NC_002695.2	CP041955.1
1643495	1644991	1116461	1117957	1497	1497	93.86	NC_002695.2	CP041955.1
1643443	1644991	2137590	2139138	1549	1549	94.32	NC_002695.2	CP041955.1
1645221	1647989	1118163	1120931	2769	2769	95.20	NC_002695.2	CP041955.1
1645221	1647989	2139344	2142112	2769	2769	95.05	NC_002695.2	CP041955.1
1648908	1650488	1121949	1123532	1581	1584	95.83	NC_002695.2	CP041955.1
1648839	1650488	2143043	2144693	1650	1651	93.40	NC_002695.2	CP041955.1
1653007	1653131	2151238	2151362	125	125	92.80	NC_002695.2	CP041955.1
1653007	1653130	1127559	1127682	124	124	87.90	NC_002695.2	CP041955.1
1655939	1656929	2151398	2152386	991	989	98.79	NC_002695.2	CP041955.1
1664778	1665542	3664241	3663477	765	765	97.12	NC_002695.2	CP041955.1
1665188	1685601	2177412	2197784	20414	20373	98.27	NC_002695.2	CP041955.1
1685602	1686114	4288416	4288928	513	513	95.71	NC_002695.2	CP041955.1
1685602	1686114	1963587	1964100	513	514	95.33	NC_002695.2	CP041955.1
1685601	1686114	2147141	2147654	514	514	95.72	NC_002695.2	CP041955.1
1686122	1686641	1983360	1982841	520	520	97.88	NC_002695.2	CP041955.1
1686122	1686911	1966378	1967166	790	789	96.20	NC_002695.2	CP041955.1
1686122	1686911	2149933	2150722	790	790	96.58	NC_002695.2	CP041955.1
1686122	1686912	4291208	4291998	791	791	96.59	NC_002695.2	CP041955.1
1686912	1688033	2197782	2198903	1122	1122	98.75	NC_002695.2	CP041955.1
1694830	1700265	2199585	2205033	5436	5449	98.53	NC_002695.2	CP041955.1
1700266	1716104	2208170	2223939	15839	15770	98.46	NC_002695.2	CP041955.1
1715104	1715575	2224003	2224473	472	471	96.41	NC_002695.2	CP041955.1
1715104	1724832	2223468	2233197	9729	9730	98.60	NC_002695.2	CP041955.1
1724837	1732444	2233325	2240932	7608	7608	98.75	NC_002695.2	CP041955.1
1727510	1727764	2471346	2471092	255	255	83.14	NC_002695.2	CP041955.1
1729384	1729797	2469475	2469062	414	414	83.37	NC_002695.2	CP041955.1
1732064	1739595	2240730	2248264	7532	7535	98.73	NC_002695.2	CP041955.1
1739586	1757642	2249254	2267309	18057	18056	98.83	NC_002695.2	CP041955.1
1759098	1760219	2108190	2109311	1122	1122	96.88	NC_002695.2	CP041955.1
1761587	1762507	2110650	2111658	921	1009	86.25	NC_002695.2	CP041955.1
1763142	1763849	2111659	2112367	708	709	97.18	NC_002695.2	CP041955.1
1770132	1771180	2117692	2118743	1049	1052	87.93	NC_002695.2	CP041955.1
1771486	1771833	2119053	2119399	348	347	88.79	NC_002695.2	CP041955.1
1774835	1775054	2122099	2122318	220	220	95.00	NC_002695.2	CP041955.1
1796689	1798875	2141567	2143753	2187	2187	94.42	NC_002695.2	CP041955.1
1796689	1797798	1120386	1121495	1110	1110	93.15	NC_002695.2	CP041955.1
1807677	1809746	709639	711708	2070	2070	99.37	NC_002695.2	CP041955.1
1815697	1826732	2267189	2278224	11036	11036	97.28	NC_002695.2	CP041955.1
1826732	1835907	2278524	2287712	9176	9189	97.73	NC_002695.2	CP041955.1
1835900	1852004	2288481	2304587	16105	16107	98.85	NC_002695.2	CP041955.1
1859891	1870583	2305246	2315938	10693	10693	98.41	NC_002695.2	CP041955.1
1870585	1898675	2316065	2344150	28091	28086	97.13	NC_002695.2	CP041955.1
1899340	1899478	2344150	2344288	139	139	97.12	NC_002695.2	CP041955.1
1900375	1909303	2344305	2353234	8929	8930	98.88	NC_002695.2	CP041955.1
1909302	1909827	1986155	1985629	526	527	95.27	NC_002695.2	CP041955.1
1910614	1921550	2353232	2364168	10937	10937	99.01	NC_002695.2	CP041955.1
1926236	1926689	2109849	2110302	454	454	91.85	NC_002695.2	CP041955.1
1932944	1933374	2115187	2115617	431	431	87.70	NC_002695.2	CP041955.1
1940642	1940922	2120331	2120611	281	281	97.51	NC_002695.2	CP041955.1
1966022	1967364	2141334	2142676	1343	1343	94.27	NC_002695.2	CP041955.1
1966039	1968916	1120170	1123046	2878	2877	95.62	NC_002695.2	CP041955.1
1967815	1968916	2143109	2144207	1102	1099	92.38	NC_002695.2	CP041955.1
1972620	1983840	2364126	2375368	11221	11243	97.41	NC_002695.2	CP041955.1
1988650	2002987	2399301	2413628	14338	14328	96.26	NC_002695.2	CP041955.1
2004810	2020808	2413773	2429768	15999	15996	98.59	NC_002695.2	CP041955.1
2020809	2049793	2431517	2460504	28985	28988	97.72	NC_002695.2	CP041955.1
2043864	2045508	1055509	1057153	1645	1645	95.20	NC_002695.2	CP041955.1
2046050	2049766	1360565	1364288	3717	3724	93.90	NC_002695.2	CP041955.1
2050813	2052325	1062451	1063905	1513	1455	93.39	NC_002695.2	CP041955.1
2051023	2052336	4547051	4548340	1314	1290	96.65	NC_002695.2	CP041955.1
2051046	2051934	1570167	1571055	889	889	96.40	NC_002695.2	CP041955.1
2051047	2052336	1568902	1570166	1290	1265	94.11	NC_002695.2	CP041955.1
2051023	2064801	2462712	2476477	13779	13766	97.25	NC_002695.2	CP041955.1
2051047	2051402	1568522	1568876	356	355	92.13	NC_002695.2	CP041955.1
2056989	2057809	2238689	2237872	821	818	79.39	NC_002695.2	CP041955.1
2065443	2065768	2476466	2476791	326	326	97.85	NC_002695.2	CP041955.1
2067308	2111462	2476786	2520956	44155	44171	98.40	NC_002695.2	CP041955.1
2069097	2070890	205291	203498	1794	1794	78.87	NC_002695.2	CP041955.1
2071425	2071740	202960	202645	316	316	82.65	NC_002695.2	CP041955.1
2073622	2073745	3591588	3591464	124	125	89.60	NC_002695.2	CP041955.1
2092023	2093526	4587793	4589296	1504	1504	95.55	NC_002695.2	CP041955.1
2114742	2115206	2520956	2521419	465	464	96.77	NC_002695.2	CP041955.1
2115331	2116602	2521531	2522796	1272	1266	97.09	NC_002695.2	CP041955.1
2116605	2135941	2523417	2542767	19337	19351	98.00	NC_002695.2	CP041955.1
2136440	2147031	2542768	2553357	10592	10590	96.72	NC_002695.2	CP041955.1
2148577	2158324	2553420	2563166	9748	9747	98.65	NC_002695.2	CP041955.1
2189686	2189904	2120611	2120393	219	219	98.17	NC_002695.2	CP041955.1
2193983	2194418	2117609	2117173	436	437	92.68	NC_002695.2	CP041955.1
2198002	2198513	2114539	2114048	512	492	85.77	NC_002695.2	CP041955.1
2198613	2200219	2113946	2112340	1607	1607	95.40	NC_002695.2	CP041955.1
2201302	2201903	2111618	2111014	602	605	93.43	NC_002695.2	CP041955.1
2202219	2203474	2110697	2109439	1256	1259	91.83	NC_002695.2	CP041955.1
2204886	2205682	1966373	1967168	797	796	96.36	NC_002695.2	CP041955.1
2206653	2208723	711709	709639	2071	2071	99.37	NC_002695.2	CP041955.1
2209097	2209553	1967208	1967663	457	456	85.40	NC_002695.2	CP041955.1
2212836	2215274	2144207	2141771	2439	2437	93.69	NC_002695.2	CP041955.1
2239709	2239835	2121424	2121300	127	125	93.70	NC_002695.2	CP041955.1
2242439	2244004	2118743	2117177	1566	1567	89.80	NC_002695.2	CP041955.1
2244848	2245028	2115660	2115479	181	182	91.76	NC_002695.2	CP041955.1
2247973	2248267	2113867	2113573	295	295	94.92	NC_002695.2	CP041955.1
2249648	2251493	2112495	2110650	1846	1846	96.43	NC_002695.2	CP041955.1
2252861	2254017	2109311	2108155	1157	1157	93.01	NC_002695.2	CP041955.1
2254995	2291309	2565461	2601776	36315	36316	98.78	NC_002695.2	CP041955.1
2291309	2308478	2601957	2619115	17170	17159	98.49	NC_002695.2	CP041955.1
2308439	2415971	2618980	2726599	107533	107620	98.60	NC_002695.2	CP041955.1
2416335	2450342	2727165	2761171	34008	34007	98.17	NC_002695.2	CP041955.1
2451221	2454320	2761260	2764358	3100	3099	98.87	NC_002695.2	CP041955.1
2454320	2455114	2150722	2149928	795	795	95.97	NC_002695.2	CP041955.1
2454320	2455114	4291997	4291203	795	795	95.97	NC_002695.2	CP041955.1
2455115	2455631	4288930	4288414	517	517	94.39	NC_002695.2	CP041955.1
2455106	2455629	2147665	2147142	524	524	94.10	NC_002695.2	CP041955.1
2455106	2455629	1964111	1963587	524	525	93.73	NC_002695.2	CP041955.1
2455106	2455629	1985629	1986153	524	525	96.20	NC_002695.2	CP041955.1
2455371	2455631	1972703	1972963	261	261	97.70	NC_002695.2	CP041955.1
2455630	2484892	2764355	2793629	29263	29275	98.79	NC_002695.2	CP041955.1
2485117	2546296	2793629	2854803	61180	61175	98.70	NC_002695.2	CP041955.1
2546395	2567011	2854803	2875419	20617	20617	98.55	NC_002695.2	CP041955.1
2567085	2593158	2875406	2901480	26074	26075	98.59	NC_002695.2	CP041955.1
2604011	2604805	2149928	2150722	795	795	96.10	NC_002695.2	CP041955.1
2604011	2604806	4291203	4291998	796	796	96.11	NC_002695.2	CP041955.1
2612106	2613224	3052935	3051814	1119	1122	99.38	NC_002695.2	CP041955.1
2612096	2613224	3033362	3034493	1129	1132	99.20	NC_002695.2	CP041955.1
2614158	2624773	2901360	2911976	10616	10617	98.25	NC_002695.2	CP041955.1
2614450	2614525	541590	541515	76	76	100.00	NC_002695.2	CP041955.1
2614450	2614525	541357	541282	76	76	100.00	NC_002695.2	CP041955.1
2614450	2614525	541701	541626	76	76	100.00	NC_002695.2	CP041955.1
2625737	2633198	2913195	2920663	7462	7469	97.18	NC_002695.2	CP041955.1
2634148	2635347	2920959	2922159	1200	1201	85.62	NC_002695.2	CP041955.1
2635784	2658839	2920641	2943621	23056	22981	97.34	NC_002695.2	CP041955.1
2659905	2668204	2944574	2952875	8300	8302	98.34	NC_002695.2	CP041955.1
2692237	2692769	2123734	2123202	533	533	85.74	NC_002695.2	CP041955.1
2694400	2694926	2147665	2147139	527	527	95.27	NC_002695.2	CP041955.1
2699712	2701251	2118741	2117201	1540	1541	89.88	NC_002695.2	CP041955.1
2707448	2707989	2111567	2111016	542	552	84.63	NC_002695.2	CP041955.1
2709723	2710844	2109311	2108190	1122	1122	85.87	NC_002695.2	CP041955.1
2712172	2716850	2952815	2957493	4679	4679	98.27	NC_002695.2	CP041955.1
2717125	2717363	2957471	2957709	239	239	89.96	NC_002695.2	CP041955.1
2717735	2727374	2957471	2967111	9640	9641	96.49	NC_002695.2	CP041955.1
2727367	2735639	3043906	3035628	8273	8279	97.60	NC_002695.2	CP041955.1
2727629	2727713	3041730	3041814	85	85	100.00	NC_002695.2	CP041955.1
2727630	2727733	3039322	3039425	104	104	97.12	NC_002695.2	CP041955.1
